"Posição 'x' e 'y' - Pata 2"

"Time      "	"X"	"Y"
3.672000e+00	3.626491e+02	1.701433e+02
3.684000e+00	3.628124e+02	1.706351e+02
3.696000e+00	3.629691e+02	1.711125e+02
3.708000e+00	3.631193e+02	1.715751e+02
3.720000e+00	3.632631e+02	1.720227e+02
3.732000e+00	3.634005e+02	1.724550e+02
3.744000e+00	3.635316e+02	1.728716e+02
3.756000e+00	3.636565e+02	1.732721e+02
3.768000e+00	3.637751e+02	1.736564e+02
3.780000e+00	3.638876e+02	1.740241e+02
3.792000e+00	3.639939e+02	1.743749e+02
3.804000e+00	3.640942e+02	1.747085e+02
3.816000e+00	3.641885e+02	1.750246e+02
3.828000e+00	3.642767e+02	1.753228e+02
3.840000e+00	3.643590e+02	1.756030e+02
3.852000e+00	3.644354e+02	1.758647e+02
3.864000e+00	3.645058e+02	1.761077e+02
3.876000e+00	3.645704e+02	1.763317e+02
3.888000e+00	3.646291e+02	1.765365e+02
3.900000e+00	3.646819e+02	1.767216e+02
3.912000e+00	3.647288e+02	1.768869e+02
3.924000e+00	3.647698e+02	1.770321e+02
3.936000e+00	3.648050e+02	1.771568e+02
3.948000e+00	3.648342e+02	1.772608e+02
3.960000e+00	3.648574e+02	1.773438e+02
3.972000e+00	3.648747e+02	1.774055e+02
3.984000e+00	3.648859e+02	1.774457e+02
3.996000e+00	3.648910e+02	1.774640e+02
4.008000e+00	3.648956e+02	1.774581e+02
4.020000e+00	3.649173e+02	1.774204e+02
4.032000e+00	3.649575e+02	1.773508e+02
4.044000e+00	3.650159e+02	1.772496e+02
4.056000e+00	3.650921e+02	1.771173e+02
4.068000e+00	3.651860e+02	1.769543e+02
4.080000e+00	3.652973e+02	1.767608e+02
4.092000e+00	3.654257e+02	1.765372e+02
4.104000e+00	3.655708e+02	1.762839e+02
4.116000e+00	3.657324e+02	1.760012e+02
4.128000e+00	3.659102e+02	1.756895e+02
4.140000e+00	3.661038e+02	1.753491e+02
4.152000e+00	3.663130e+02	1.749803e+02
4.164000e+00	3.665374e+02	1.745835e+02
4.176000e+00	3.667766e+02	1.741590e+02
4.188000e+00	3.670304e+02	1.737072e+02
4.200000e+00	3.672983e+02	1.732283e+02
4.212000e+00	3.675801e+02	1.727227e+02
4.224000e+00	3.678753e+02	1.721907e+02
4.236000e+00	3.681837e+02	1.716326e+02
4.248000e+00	3.685047e+02	1.710487e+02
4.260000e+00	3.688382e+02	1.704393e+02
4.272000e+00	3.691837e+02	1.698049e+02
4.284000e+00	3.695408e+02	1.691456e+02
4.296000e+00	3.699091e+02	1.684618e+02
4.308000e+00	3.702883e+02	1.677537e+02
4.320000e+00	3.706780e+02	1.670218e+02
4.332000e+00	3.710778e+02	1.662664e+02
4.344000e+00	3.714874e+02	1.654876e+02
4.356000e+00	3.719062e+02	1.646859e+02
4.368000e+00	3.723340e+02	1.638616e+02
4.380000e+00	3.727703e+02	1.630149e+02
4.392000e+00	3.732148e+02	1.621462e+02
4.404000e+00	3.736671e+02	1.612558e+02
4.416000e+00	3.741267e+02	1.603441e+02
4.428000e+00	3.745933e+02	1.594113e+02
4.440000e+00	3.750666e+02	1.584578e+02
4.452000e+00	3.755460e+02	1.574838e+02
4.464000e+00	3.760312e+02	1.564898e+02
4.476000e+00	3.765219e+02	1.554760e+02
4.488000e+00	3.770177e+02	1.544427e+02
4.500000e+00	3.775181e+02	1.533904e+02
4.512000e+00	3.780228e+02	1.523193e+02
4.524000e+00	3.785314e+02	1.512298e+02
4.536000e+00	3.790436e+02	1.501222e+02
4.548000e+00	3.795589e+02	1.489968e+02
4.560000e+00	3.800770e+02	1.478541e+02
4.572000e+00	3.805976e+02	1.466943e+02
4.584000e+00	3.811202e+02	1.455178e+02
4.596000e+00	3.816445e+02	1.443249e+02
4.608000e+00	3.821701e+02	1.431161e+02
4.620000e+00	3.826968e+02	1.418916e+02
4.632000e+00	3.832241e+02	1.406519e+02
4.644000e+00	3.837517e+02	1.393973e+02
4.656000e+00	3.842793e+02	1.381282e+02
4.668000e+00	3.848065e+02	1.368449e+02
4.680000e+00	3.853330e+02	1.355479e+02
4.692000e+00	3.858585e+02	1.342375e+02
4.704000e+00	3.863827e+02	1.329141e+02
4.716000e+00	3.869052e+02	1.315781e+02
4.728000e+00	3.874258e+02	1.302299e+02
4.740000e+00	3.879442e+02	1.288699e+02
4.752000e+00	3.884600e+02	1.274984e+02
4.764000e+00	3.889730e+02	1.261160e+02
4.776000e+00	3.894828e+02	1.247229e+02
4.788000e+00	3.899893e+02	1.233197e+02
4.800000e+00	3.904922e+02	1.219067e+02
4.812000e+00	3.909911e+02	1.204843e+02
4.824000e+00	3.914859e+02	1.190530e+02
4.836000e+00	3.919762e+02	1.176132e+02
4.848000e+00	3.924620e+02	1.161654e+02
4.860000e+00	3.929428e+02	1.147098e+02
4.872000e+00	3.934186e+02	1.132471e+02
4.884000e+00	3.938890e+02	1.117776e+02
4.896000e+00	3.943539e+02	1.103017e+02
4.908000e+00	3.948130e+02	1.088200e+02
4.920000e+00	3.952663e+02	1.073329e+02
4.932000e+00	3.957134e+02	1.058407e+02
4.944000e+00	3.961543e+02	1.043440e+02
4.956000e+00	3.965887e+02	1.028433e+02
4.968000e+00	3.970165e+02	1.013389e+02
4.980000e+00	3.974376e+02	9.983136e+01
4.992000e+00	3.978517e+02	9.832114e+01
5.004000e+00	3.982588e+02	9.680869e+01
5.016000e+00	3.986587e+02	9.529449e+01
5.028000e+00	3.990513e+02	9.377900e+01
5.040000e+00	3.994366e+02	9.226270e+01
5.052000e+00	3.998143e+02	9.074607e+01
5.064000e+00	4.001844e+02	8.922957e+01
5.076000e+00	4.005469e+02	8.771369e+01
5.088000e+00	4.009016e+02	8.619892e+01
5.100000e+00	4.012485e+02	8.468572e+01
5.112000e+00	4.015875e+02	8.317460e+01
5.124000e+00	4.019185e+02	8.166602e+01
5.136000e+00	4.022416e+02	8.016048e+01
